Season,Lg,Tm,year,W,L,Age,Wt.,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS,Playoffs
2017-18,NBA,HOU,34,1.997227996,-1.997227996,2.092367087,1.361645054,-0.661849467,-1.220975203,-0.018028103,3.25268127,3.365436105,0.024038475,-2.674594347,-3.562405648,2.174599751,1.743098298,1.519646292,0.572398851,-0.777004111,0.508930281,-0.009791415,-0.904534034,1.188890476,-0.004216407,-0.464285759,-0.258994888,1.622524057,-0.004638189,-0.184407623,0.164228333,-0.471980738,-0.100563053,-1.00840566,0.291269944,-0.121927231,0.529824423,-1.305207335,-1.029914253,-1.638615321,-1.459158563,-0.289073346,-1.061717637,-0.526529529,-0.534125217,-0.822350626,0.421606259,0.458947454,-0.743431747,3
2017-18,NBA,IND,34,0.582524832,-0.582524832,-0.153911697,-0.340411264,0.87111069,0.22060554,0.793235535,-1.004637016,-1.137552821,0.655047654,1.250844068,1.140440092,0.102821569,-0.999947011,-1.096865317,0.487599021,-0.126489042,-0.812331032,-0.714773126,-0.540641032,1.642280911,-0.889662022,-0.958206779,-0.767302608,-0.197129101,-0.143783799,-0.505116531,0.448469734,0.12295296,0.703941373,-1.197481715,-0.240614306,-0.900906762,1.23200137,-1.176191783,-1.079588574,-0.78972511,0.715084328,-0.708695949,-0.363219192,-0.023075001,-1.201781738,0.756562575,1.548672484,-1.155867661,-0.651523977,1
2017-18,NBA,LAC,34,0.083217833,-0.083217833,0.345261367,-0.056735211,0.506120177,-0.434658434,0.725630232,-0.666754612,-0.555705938,-0.697114873,0.783529971,0.364470545,0.65529575,1.392922301,1.697036909,-1.038797915,0.415606849,-0.078296969,0.225202489,-0.488656317,-0.020150686,-0.3836931,0.424772077,0.104082054,0.712697478,0.41279864,0.657453263,-0.214760201,0.2419397,0.60337832,-0.535715521,0.291269944,0.149022171,0.082984548,0.759041502,0.509989697,1.139570824,1.294882433,-0.568821748,0.055879876,0.857970423,1.301930216,1.546019175,-0.204541644,1.818791761,0.819000337,0
2017-18,NBA,LAL,34,-0.499306999,0.499306999,-1.713827519,-0.624087316,0.798112588,1.531133489,0.0495772,-0.328872208,0.026140946,-1.508412389,0.736798561,0.529070146,0.286979629,-0.007781687,0.721388513,-2.268395447,1.066121919,1.389771157,1.693914389,0.291114402,-0.020150686,-0.130708638,1.511398322,0.975466717,0.47186103,0.96938108,1.539402762,-0.404254468,-0.115020519,0.553096793,-1.481095798,1.127088053,0.928001702,0.082984548,0.307487068,0.410641055,-0.481037761,0.715084328,0.550171859,0.89407801,0.228652263,0.968101955,1.348655025,0.045917517,0.543937723,1.002815876,0
2017-18,NBA,MEM,34,-1.58113883,1.58113883,-0.278704962,0.510616895,-2.121811522,-2.138344768,-1.099712955,-0.869484054,-0.707492081,-0.87740321,-0.758606549,-0.129328258,-1.140245341,-0.007781687,-0.254259884,0.784398426,-0.23490822,-2.060188939,-1.772245694,-0.904534034,-0.322410976,-0.004216407,0.721124689,2.427774487,-1.882984232,-1.743958312,-2.309104144,0.164228333,0.2419397,0,0.59874081,-1.988233988,-1.950835695,0.33832162,2.565259234,2.546636857,0.136336938,-0.299562354,-0.568821748,-0.712468414,-0.715324977,0.634273695,0.559198425,0.67206542,0.458947454,-0.253256975,0
2017-18,NBA,MIA,34,0.249653499,-0.249653499,0.033278202,-0.340411264,-0.588851365,-0.500184832,-0.356054619,0.346892599,0.405606305,-0.156249862,-0.61841232,-0.529070146,-0.127376007,-1.116672344,-0.963822354,-0.529998936,-0.451746576,0.288720062,-0.009791415,-0.280717459,-0.171280831,0.628244746,0.128419465,0.176697443,-0.785840417,-1.326521483,-0.906002667,-0.97273727,-1.066914437,-1.20675664,-0.157563411,-0.772498557,0.047416145,-1.257535077,0.888057054,0.65901266,1.216742662,-0.879360459,0.130549256,-0.293369347,-1.407574954,-0.367211086,-0.427622326,-0.204541644,-0.390955238,-1.049790979,1
2017-18,NBA,MIL,34,0.249653499,-0.249653499,-0.341101595,-0.056735211,0.06813156,-2.007291973,1.198867354,-1.139789977,-1.08695744,-0.606970704,0.87699279,0.293927859,0.931532841,0.984383638,0.765736167,0.657198681,-1.42751918,-1.693171908,-2.183485026,-0.020793886,1.642280911,0.754736977,-0.464285759,1.120697494,0.043707346,-0.352502214,-0.946091281,0.732711135,-0.471980738,-0.955349007,0.976892921,-0.088647378,-0.155795906,0.146818816,1.146088158,0.907384265,1.216742662,0.425185276,-0.708695949,-0.572768725,0.228652263,-1.034867607,-0.624986476,1.673902064,0.033996108,0.145010026,1
2017-18,NBA,MIN,34,0.499306999,-0.499306999,0.407657999,-0.340411264,1.017106896,0.024026348,1.063656748,-1.680401823,-1.643506633,-0.426682367,1.811620984,1.54018198,0.379058659,1.626372965,1.076169748,1.547596894,0.632445206,-1.619768501,-0.891018554,-0.280717459,1.037760331,-0.763169792,-1.748480411,-1.202994939,0.846495504,0.41279864,-0.545205145,1.395941071,0.47991318,0.30168916,0.409664755,0.21528648,-0.69769471,1.487338441,-0.402098469,-0.582845364,0.908055312,0.135286224,-1.268192752,-1.201417326,0.417447711,-2.036352389,-0.230258176,1.047754162,0.8838988,0.298189642,1
2017-18,NBA,NOP,34,0.582524832,-0.582524832,0.719641164,-0.056735211,2.258074643,1.465607092,1.53689387,-0.193719247,-0.201538269,0.024038475,1.577963936,0.717183975,1.345888478,-0.299595018,-0.342955192,0.190799617,-1.102261645,1.389771157,0.460196393,1.85065584,0.43323975,1.387198131,0.622340485,-0.549456442,1.43520682,1.456390714,2.341175034,-0.593748736,0.47991318,0.804504427,-0.630253549,1.355038446,1.436031831,-0.491523862,-0.337590693,-0.582845364,1.293914499,1.584781485,0.620108959,1.383026922,0.291584079,0.801187825,-1.217078926,0.296376678,0.458947454,1.247903262,2
2017-18,NBA,NYK,34,-0.998613998,0.998613998,-0.091515064,0.226940842,0.798112588,1.072448707,0.252393109,-1.545248861,-1.441125109,-0.87740321,1.577963936,1.728295809,-0.311534068,-0.999947011,-1.185560626,0.82679834,0.849283562,-0.151700375,0.283950965,0.031190829,-1.531452137,0.375260285,0.424772077,0.467158997,-0.491484759,-0.143783799,0.096212673,-0.309507335,0.836873399,0.703941373,0.59874081,-0.696515093,-0.392876633,-0.363855327,0.888057054,0.758361302,0.522196125,0.715084328,-0.568821748,-0.223519503,0.480379527,0.801187825,-0.230258176,-1.081148708,-1.24085793,0.512641105,0
2017-18,NBA,OKC,34,0.582524832,-0.582524832,0.532451265,0.226940842,0.214127766,1.334554297,-0.491265226,0.144163157,0.355010924,-0.697114873,-0.010903994,0.152842487,-0.265494553,0.400756976,1.120517402,-2.183595617,3.017667126,-0.885734438,0.930184201,-1.008503463,2.095671347,0.248768054,-0.266717351,0.249312832,0.41834182,-0.769939043,-0.82582544,-0.214760201,0.836873399,0.804504427,0.504202783,-1.380366273,-1.239593514,0.01915028,-0.273082917,-0.284799439,0.136336938,-0.299562354,-0.848570149,-0.922017948,0.039856815,-0.033382826,-0.427622326,2.174820387,1.223859876,-0.590252131,1
2017-18,NBA,ORL,34,-1.33148533,1.33148533,-0.528291494,-1.475115475,-0.588851365,-0.107026447,-0.558870529,-0.126142766,0.076736327,-0.967547378,-0.291292452,-0.129328258,-0.311534068,-0.649771014,-0.52034581,-0.445199106,-0.993842467,-0.738927626,-1.126012458,0.083175543,-0.171280831,0.122275823,0.227203669,-0.404225665,-0.785840417,0.899808275,0.577276036,0.732711135,-0.590967478,-0.703941373,0.031512644,1.355038446,0.995739052,0.33832162,-0.144067365,-0.235125118,0.445024288,1.294882433,1.039731562,1.6624263,0.732106791,0.133531304,0.164470124,-0.079312064,-0.730916315,0.573912951,0
2017-18,NBA,PHI,34,0.915396165,-0.915396165,-0.403498228,0.510616895,0.87111069,0.351658335,0.793235535,0.346892599,0.20322478,0.655047654,0.362947284,-0.0822998,0.701335266,0.284031644,0.499650241,-0.657198681,1.282960275,1.976998407,2.281399149,2.006609983,0.886630186,0.375260285,2.20288775,1.629005213,0.92677432,-1.117803068,0.617364649,-2.488691408,-0.471980738,0.30168916,-1.859247908,-0.924465486,0.318365547,-1.832043487,1.597642591,1.950545005,-1.715787159,0.425185276,-1.128318551,-0.922017948,-0.967052242,1.301930216,0.559198425,0.045917517,0.458947454,-0.314528822,2
2017-18,NBA,PHO,34,-1.664356663,1.664356663,-1.713827519,-0.907763369,-0.807845673,0.679290322,-1.234923561,-0.801907573,-0.277431341,-2.499998242,-0.010903994,0.505555917,-0.86400825,0.634207641,0.987474439,-1.123597745,0.632445206,0.068509843,0.342699441,-1.008503463,-1.229191847,-0.3836931,1.412614118,1.556389825,-0.65204239,1.525963519,1.058339399,1.016952536,0.47991318,0.100563053,1.071430948,1.355038446,0.826395676,0.529824423,1.404119263,1.453801795,-0.095178574,1.004983381,1.109668662,1.6624263,0.039856815,1.635758476,2.335475775,-1.081148708,0.8838988,2.136345035,0
2017-18,NBA,POR,34,0.665742665,-0.665742665,-0.528291494,-0.340411264,-0.223860851,0.613763925,-0.558870529,-0.126142766,-0.22683596,0.384615149,-0.057635404,0.411499002,-0.817968735,0.050580979,-0.342955192,1.377997234,0.524026028,1.096157531,1.165178105,-1.944228326,-1.078061702,0.501752516,-0.760638371,-0.258994888,-0.197129101,-0.839511848,-0.064141782,-1.256978671,-0.947927697,-1.20675664,0.2205887,-0.316597771,0.758658326,-1.704374952,-0.015051812,0.16226945,-0.944068785,-0.589461407,-0.149199145,-0.433069036,-1.911029482,-0.701039347,0.559198425,-2.082985353,-0.645926046,-1.019155056,1
