Season,Lg,Team,Year,W,L,Age,Wt.,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS
2018-19,NBA,Houston Rockets*,35,0.942160256,-0.862826427,2.137701332,0.572354044,-1.30871162,-0.969233875,-0.989061936,3.03874051,3.069646746,-0.262534835,-3.038947871,-3.289691664,1.384213559,0.937429624,0.617032074,0.679340325,-0.040483096,-1.823640628,-1.585463896,-1.727283134,1.089354102,0.032713409,-0.54293781,0.776190447,0.456147288,-0.378287869,-1.074717848,0.645686337,-1.447883467,-1.076819831,-1.372402715,0.432090079,-0.23200128,0.9842923,0.451451756,0.289233787,0.736466637,0.738240713,-0.394555202,0.076496495,-0.770928171,-0.090299967,-0.615229642,0.750616239,-0.685110944,-0.424717305
2018-19,NBA,Indiana Pacers*,35,0.669509378,-0.683692913,0.489641087,-0.671893878,0.140938174,-1.063639771,1.141225311,-1.246367412,-1.533636959,1.115773048,0.943015312,0.922985967,-0.114411132,-1.117478737,-1.004366076,-0.402794706,-1.153768228,-0.478331968,-0.961517459,0.660665899,1.318691808,0.032713409,-0.352433316,-1.170525143,-0.799078163,-1.661764568,-1.359321566,-0.881455622,0.004033102,0.020909123,-0.038533986,-1.639269579,-1.312007239,-0.80009725,-1.398399341,-1.199721213,-1.223484897,-0.043425924,-1.551521583,-1.205944746,-0.15212295,-0.225749918,0.373532283,1.317628507,-0.764162206,-1.83175623
2018-19,NBA,Los Angeles Clippers*,35,0.669509378,-0.594126156,0.704605467,-1.916141801,0.0805361,-0.686016184,0.684735186,-0.900794192,-1.46245216,2.165912388,0.665203927,1.032691114,-0.79120938,2.816202982,2.373546737,0.829636858,-0.546521792,0.586704055,0.238379536,-0.390031675,-0.974685249,-0.387887561,0.219080169,1.674674566,0.948392563,0.432328993,0.836192827,-0.318824374,-1.205897372,-0.972274217,-1.105628969,1.100270614,1.568008651,-0.397170577,1.640641746,1.572815684,0.469200519,1.129074031,-0.216560374,0.413981032,-0.384174908,0.586949787,1.691881515,-0.86941881,2.397888303,0.695702579
2018-19,NBA,Los Angeles Lakers,35,-0.421094134,0.391108173,-0.155252052,0.32350446,0.926165146,0.541260475,0.836898561,-0.831679548,-0.276038834,-1.640842718,1.267128594,0.50610641,1.190842631,-0.706497065,0.256721374,-2.116175173,-0.445314053,0.92303122,0.574350695,0.374112015,-0.286672132,0.593514702,1.362107139,-0.122293672,0.160800123,0.702534614,1.608688632,-0.640327944,0.608998338,0.85727404,-0.305307731,0.432090079,0.888004899,-0.569853437,0.055055092,-0.172855695,1.360087579,1.389629577,0.851408593,1.358937736,0.389331618,0.722399737,0.208738629,0.021600467,0.105401684,0.721758856
2018-19,NBA,Memphis Grizzlies,35,-0.693745012,0.659808444,1.20618902,-0.920743463,-1.852330293,-2.338119379,-0.760816874,-1.177252768,-0.84551723,-1.115773048,-0.631249202,-0.305711675,-0.597838452,-0.178092058,-0.193667001,-0.012023723,-1.659806925,-1.038877243,-1.681455656,-0.294513714,0.745347544,0.733715026,-0.066676573,0.776190447,-2.02969135,-2.539932836,-2.53839411,-0.881455622,0.367012244,0.07318193,0.67286267,-2.708358434,-2.55201408,-0.857658203,1.046046751,0.75132327,1.716442403,-1.085648107,0.406421524,-0.260988042,-1.080330782,0.045149984,-0.12084868,0.993621497,0.421606735,-1.493024637
2018-19,NBA,Miami Heat,35,-0.05755963,0.032841144,0.346331501,0.821203629,-0.885897096,-0.686016184,-0.684735186,0.066810822,0.079885164,-0.131267417,-0.723852997,-0.393475793,-0.54949572,-1.469748742,-0.508938864,-2.266471705,0.971594298,0.082213307,0.526354815,-0.198995753,-0.057334426,0.733715026,0.504836912,-0.047419995,-1.315935702,-1.796867379,-1.074717848,-1.363710977,0.608998338,0.543637196,0.495013506,-2.173814006,-1.472008121,-1.433267735,-0.275275461,-0.224198971,-0.421686542,-0.30398147,-0.928539686,-0.868460209,-1.002980129,-0.496649819,-0.285642334,-0.059401285,-0.527008418,-1.362743255
2018-19,NBA,Milwaukee Bucks*,35,1.76011289,-1.668927241,0.417986294,2.314301137,1.34897967,0.730072269,1.293388685,1.518218344,1.456124622,3.64E-15,0.06327926,-1.007824614,2.206040003,-0.11938039,-0.193667001,0.108213503,-1.153768228,3.109157792,2.110218849,0.70842488,-0.172003279,1.434716643,-0.352433316,-1.095651467,1.58831142,-0.580942085,1.608688632,-2.247845795,1.576942717,1.85045738,0.139315178,-1.438815418,0.168000927,-2.354242987,-1.728729893,-1.302407764,-2.7379929,-0.694814788,0.31742411,-0.125994227,-0.15212295,-1.038449622,-0.285642334,-0.626413552,-0.843213469,-0.763448898
2018-19,NBA,Minnesota Timberwolves,35,-0.421094134,0.301541416,0.131367121,0.32350446,0.322144399,1.060492908,-0.380408437,-0.900794192,-0.774332431,-0.459435961,0.896713415,1.208219348,-0.79120938,0.937429624,0.662070911,0.529043793,1.275217515,-0.646495551,0.094391897,-0.00795983,0.860016396,0.172913732,-0.9239468,-0.571535731,0.333085969,0.567431804,0.34830074,0.404558659,1.576942717,0.805001233,2.095655982,-0.369726563,-0.272001501,-0.166926764,-0.341341571,-0.378228799,0.291023106,1.129074031,-0.57255003,0.143993403,1.240188798,-1.580249426,1.032706899,0.507610982,0.816863048,0.643590027
2018-19,NBA,New Orleans Pelicans,35,-0.51197776,0.659808444,-0.298561638,0.32350446,1.590587969,1.438116496,0.989061936,-0.762564904,-0.537049766,-0.721970796,1.730147569,1.16433729,0.755758043,0.174177947,0.256721374,-0.222438868,0.870386558,0.69881311,1.006313613,1.233773667,-0.172003279,0.733715026,0.504836912,0.177201035,1.096066145,1.445600072,1.364742589,0.484934552,1.092970528,0.909546848,0.67286267,0.8329984,0.648003575,0.408682768,0.055055092,0.13520396,-0.421686542,0.738240713,-0.038565546,0.346484125,1.626942061,0.993299639,0.703119591,-0.302406542,0.184452946,1.373165765
2018-19,NBA,New York Knicks,35,-2.147883028,2.092876559,-2.08993147,0.32350446,-1.550319919,-0.025174906,-2.130287246,-0.969908836,-0.631962832,-0.984505631,-0.538645407,0.571929498,-2.048120412,0.232889614,0.346799049,-0.222438868,0.465555601,-0.478331968,-0.193583382,-2.20487294,-0.860016396,-0.107486915,-0.161928821,0.177201035,-1.488221548,0.702534614,0.104354696,0.886814015,0.729991386,0.386818774,0.939636416,0.298453972,-0.192001059,0.696487534,0.451451756,0.443263615,0.112845694,0.217129621,1.741382733,1.426434644,1.00813684,-0.496649819,1.362294207,-0.626413552,-0.052700842,0.878096514
